metric,value
n_nodes,9457
n_elements,46067
total_volume,1824.0749858385311
min_volume,2.1750652628064871e-07
max_volume,10.76547490323677
mean_volume,0.039596131413778435
min_edge_length,0.0038538038545108716
max_edge_length,6.09459262326722
mean_edge_length,0.15403251209866184
min_dihedral_deg,4.1461219588602205
p01_dihedral_deg,12.379340212794277
max_aspect_ratio,15.50391195907065
p99_aspect_ratio,6.173362976388492
n_wall_faces,5142
n_farfield_faces,218
n_symmetry_faces,1332
n_wake_faces,3688
h_wall,0.03
gen_seconds,1.4
quality_within_bounds,True
